# Freq.,Pxx2,Pxx3,Pxx4
0.000000000000000000e+00,1.418943443184927100e-08,9.508090262137693933e-09,1.317178995873868222e-08
1.000000000000000000e+00,6.738719061003704699e-09,4.555432848419515861e-09,6.295451714547473577e-09
2.000000000000000000e+00,1.723641704172483243e-09,1.623482881647099065e-09,9.444105691550086427e-10
3.000000000000000000e+00,1.071748554122925445e-08,7.321704360835941325e-09,4.199546921973599557e-09
4.000000000000000000e+00,3.623010556958950689e-08,2.958815120435319865e-08,1.812628600728389588e-08
5.000000000000000000e+00,1.443134187454133565e-07,9.139108024264884012e-08,6.130163331307116678e-08
6.000000000000000000e+00,2.557359319927528913e-07,1.873196096807139222e-07,1.258056099626641341e-07
7.000000000000000000e+00,9.158796002565398077e-07,4.325946021687247832e-07,3.445945627074197051e-07
8.000000000000000000e+00,1.405275512834802446e-06,8.620142439861422933e-07,7.388117000773862094e-07
9.000000000000000000e+00,1.964595279485285640e-06,1.549857801129089621e-06,1.372769385997971700e-06
1.000000000000000000e+01,3.474516327998376536e-06,2.330134448021038561e-06,1.709686175300129026e-06
1.100000000000000000e+01,4.711214545081962747e-06,3.111744135862829167e-06,2.184109686819852256e-06
1.200000000000000000e+01,5.510835568678463321e-06,4.359525863352149550e-06,2.701015413702739997e-06
1.300000000000000000e+01,7.113346510338313098e-06,5.188488262728768033e-06,4.529229027382011995e-06
1.400000000000000000e+01,9.433562529563109731e-06,7.961234859651187531e-06,6.845570287017251992e-06
1.500000000000000000e+01,1.025319381294152745e-05,7.128976776440852154e-06,7.233914039248055395e-06
1.600000000000000000e+01,7.400609404076603696e-06,4.243826264738233588e-06,5.067299300281316756e-06
1.700000000000000000e+01,5.176730467658856538e-06,3.134361019696430655e-06,3.437180665692181720e-06
1.800000000000000000e+01,3.832848340078864253e-06,3.059533721291224247e-06,3.151341593988067542e-06
1.900000000000000000e+01,3.201404311574201552e-06,2.299762721693224223e-06,2.452994210896132505e-06
2.000000000000000000e+01,3.124873798876008213e-06,1.955185430714086698e-06,2.142136195440346493e-06
2.100000000000000000e+01,2.737290534699544818e-06,1.901190320721421074e-06,2.037792619151140545e-06
2.200000000000000000e+01,2.439694887685435892e-06,1.896241775023511277e-06,1.786493946931837276e-06
2.300000000000000000e+01,1.735966522631705402e-06,1.510133518946440721e-06,1.206986478347121638e-06
2.400000000000000000e+01,1.428926109711390936e-06,1.245480326086433331e-06,8.819426887120057621e-07
2.500000000000000000e+01,3.417385509466290729e-06,3.598234955058637949e-06,3.273590646222592676e-06
2.600000000000000000e+01,3.957710012075579616e-06,4.181513048854321254e-06,4.163064617288056294e-06
2.700000000000000000e+01,1.186434834565252961e-06,1.017954538121670648e-06,1.137467682305585972e-06
2.800000000000000000e+01,1.055429641701097789e-06,8.726433380184358800e-07,8.350678315763091928e-07
2.900000000000000000e+01,9.655871448358534578e-07,9.638599124036527584e-07,6.374366238556691905e-07
3.000000000000000000e+01,8.141475867313210462e-07,1.005748269331442758e-06,6.609894804059821086e-07
3.100000000000000000e+01,8.692316950070074669e-07,8.616967409710002159e-07,6.364644760077415175e-07
